id,title,price,rating,in_stock,category,scraped_at
1,The Book of Basketball: The NBA According to The Sports Guy,44.84,5,1,Sports_And_Games,2026-03-08 21:46:42.608172
2,"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,1,Sports_And_Games,2026-03-08 21:46:42.612629
3,Sugar Rush (Offensive Line #2),24.42,1,1,Sports_And_Games,2026-03-08 21:46:42.613629
4,Settling the Score (The Summer Games #1),44.91,2,1,Sports_And_Games,2026-03-08 21:46:42.613629
5,Icing (Aces Hockey #2),40.44,4,1,Sports_And_Games,2026-03-08 21:46:42.614627
6,It's Only the Himalayas,45.17,2,1,Travel,2026-03-08 21:46:43.249782
7,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1,Travel,2026-03-08 21:46:43.252384
8,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,1,Travel,2026-03-08 21:46:43.252384
9,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,1,Travel,2026-03-08 21:46:43.252384
10,Under the Tuscan Sun,37.33,3,1,Travel,2026-03-08 21:46:43.253483
11,A Summer In Europe,44.34,2,1,Travel,2026-03-08 21:46:43.253483
12,The Great Railway Bazaar,30.54,1,1,Travel,2026-03-08 21:46:43.253483
13,A Year in Provence (Provence #1),56.88,4,1,Travel,2026-03-08 21:46:43.253483
14,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,1,Travel,2026-03-08 21:46:43.254469
15,Neither Here nor There: Travels in Europe,38.95,3,1,Travel,2026-03-08 21:46:43.254469
16,"1,000 Places to See Before You Die",26.08,5,1,Travel,2026-03-08 21:46:43.254469
17,Sharp Objects,47.82,4,1,Mystery,2026-03-08 21:46:43.888262
18,"In a Dark, Dark Wood",19.63,1,1,Mystery,2026-03-08 21:46:43.891428
19,The Past Never Ends,56.5,4,1,Mystery,2026-03-08 21:46:43.892442
20,A Murder in Time,16.64,1,1,Mystery,2026-03-08 21:46:43.892442
21,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,1,Mystery,2026-03-08 21:46:43.893437
22,The Last Mile (Amos Decker #2),54.21,2,1,Mystery,2026-03-08 21:46:43.893437
23,That Darkness (Gardiner and Renner #1),13.92,1,1,Mystery,2026-03-08 21:46:43.893437
24,Tastes Like Fear (DI Marnie Rome #3),10.69,1,1,Mystery,2026-03-08 21:46:43.894436
25,A Time of Torment (Charlie Parker #14),48.35,5,1,Mystery,2026-03-08 21:46:43.894436
26,A Study in Scarlet (Sherlock Holmes #1),16.73,2,1,Mystery,2026-03-08 21:46:43.895436
27,Poisonous (Max Revere Novels #3),26.8,3,1,Mystery,2026-03-08 21:46:43.895436
28,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,1,Mystery,2026-03-08 21:46:43.895436
29,Most Wanted,35.28,3,1,Mystery,2026-03-08 21:46:43.896436
30,Hide Away (Eve Duncan #20),11.84,1,1,Mystery,2026-03-08 21:46:43.896436
31,Boar Island (Anna Pigeon #19),59.48,3,1,Mystery,2026-03-08 21:46:43.896436
32,The Widow,27.26,2,1,Mystery,2026-03-08 21:46:43.897436
33,Playing with Fire,13.71,3,1,Mystery,2026-03-08 21:46:43.897436
34,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1,Mystery,2026-03-08 21:46:43.898436
35,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1,Mystery,2026-03-08 21:46:43.898436
36,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,1,Mystery,2026-03-08 21:46:43.898436
37,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,1,Mystery,2026-03-08 21:46:44.523281
38,In the Woods (Dublin Murder Squad #1),38.38,2,1,Mystery,2026-03-08 21:46:44.525743
39,The Silkworm (Cormoran Strike #2),23.05,5,1,Mystery,2026-03-08 21:46:44.525743
40,The Exiled,43.45,3,1,Mystery,2026-03-08 21:46:44.527116
41,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,1,Mystery,2026-03-08 21:46:44.527116
42,Extreme Prey (Lucas Davenport #26),25.4,3,1,Mystery,2026-03-08 21:46:44.527116
43,Career of Evil (Cormoran Strike #3),24.72,2,1,Mystery,2026-03-08 21:46:44.527116
44,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,1,Mystery,2026-03-08 21:46:44.528103
45,The Girl You Lost,12.29,5,1,Mystery,2026-03-08 21:46:44.528103
46,The Girl In The Ice (DCI Erika Foster #1),15.85,3,1,Mystery,2026-03-08 21:46:44.528103
47,Blood Defense (Samantha Brinkman #1),20.3,3,1,Mystery,2026-03-08 21:46:44.528103
48,1st to Die (Women's Murder Club #1),53.98,1,1,Mystery,2026-03-08 21:46:44.529028
49,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science_Fiction,2026-03-08 21:46:45.156920
50,Join,35.67,5,1,Science_Fiction,2026-03-08 21:46:45.158920
51,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,1,Science_Fiction,2026-03-08 21:46:45.158920
52,The Project,10.65,1,1,Science_Fiction,2026-03-08 21:46:45.158920
53,Soft Apocalypse,26.12,2,1,Science_Fiction,2026-03-08 21:46:45.158920
54,Sleeping Giants (Themis Files #1),48.74,1,1,Science_Fiction,2026-03-08 21:46:45.159920
55,Arena,21.36,4,1,Science_Fiction,2026-03-08 21:46:45.159920
